Longevity data downloaded from FMP by Suheeta Roy on 3 Feb 2023,,,,,,,,,,,,
Aging BXD colony @ UTHSC on two diets- chow and high fat,,,,,,,,,,,,
Animals with age at death >200 days are considered for longevity analysis,,,,,,,,,,,,
,,,,,,,,,,,,
Index,EarTagNumberCurrent,EarTagNumberOriginal,StrainName,Sex,Diet,AgeAtDeath (days),CauseOfDeath,DateOfBirth,DateDietStart,DateOfDeath,AgeAtSettingUp (days),
228,2271,2271,BXD79,F,CD,561,Natural,4/1/15,8/5/15,10/13/16,126,
229,2784,2784,BXD75,F,CD,561,Natural,2/26/18,5/8/18,9/10/19,71,
230,567,567,BXD69,F,CD,562,Natural,1/4/12,7/20/12,7/19/13,198,
231,3143,3143,BXD14,F,CD,564,Euthanized,6/27/19,8/7/20,1/11/21,407,
232,71,71,BXD48a,F,CD,565,Natural,4/29/11,2/13/12,11/14/12,290,
233,2083,2083,BXD90,F,CD,565,Natural,10/18/14,2/6/15,5/5/16,111,
234,593,593,BXD69,F,CD,566,Euthanized,12/9/11,7/20/12,6/27/13,224,
235,3087,3087,DBA/2J,F,CD,567,Natural,9/16/19,3/16/20,4/5/21,182,
236,1,1,BXD43,F,CD,568,Natural,8/11/10,2/13/12,3/1/12,551,
237,91,91,BXD9,F,CD,570,Natural,4/4/11,2/13/12,10/25/12,315,
238,1876,1876,BXD101,F,CD,570,Natural,7/28/14,10/22/14,2/18/16,86,
239,3043,3043,BXD123,F,CD,571,Euthanized,2/3/19,3/4/20,8/27/20,395,
240,4832,4832,BXD2,F,CD,571,Natural,12/4/20,3/25/22,6/28/22,476,
241,64,64,BXD66,F,CD,572,Natural,12/19/10,2/13/12,7/13/12,421,
242,4530,4530,BXD60,F,CD,572,Natural,6/20/21,11/10/21,1/13/23,143,
243,2543,2543,BXD73,F,CD,573,Euthanized,1/9/16,2/5/16,8/4/17,27,
244,3162,3162,BXD147,F,CD,573,Euthanized,9/3/19,8/7/20,3/29/21,339,
245,827,827,BXD79,F,CD,574,Natural,1/31/12,7/20/12,8/27/13,171,
246,3048,3048,BXD202,F,CD,576,Euthanized,12/16/18,3/4/20,7/14/20,444,
247,89,89,BXD9,F,CD,576,Natural,1/25/11,2/13/12,8/23/12,384,
248,2130,2130,BXD66,F,CD,576,Natural,9/22/14,2/6/15,4/20/16,137,
249,3163,3163,BXD148,F,CD,577,Euthanized,5/18/19,8/7/20,12/15/20,447,
250,682,682,BXD40,F,CD,577,Natural,11/19/11,7/20/12,6/18/13,244,
251,284,284,BXD56,F,CD,578,Natural,10/2/11,2/13/12,5/2/13,134,
252,798,798,BXD101,F,CD,578,Natural,12/30/11,7/20/12,7/30/13,203,
253,52,52,BXD98,F,CD,579,Natural,5/2/11,2/13/12,12/1/12,287,
254,477,21,BXD70,F,CD,581,Natural,6/15/11,2/13/12,1/16/13,243,
255,865,865,BXD95,F,CD,581,Natural,1/18/12,7/20/12,8/21/13,184,
256,1036,1036,BXD29,F,CD,581,Natural,2/21/13,8/8/13,9/25/14,168,
257,1807,1807,C57BL/6J,F,CD,581,Natural,7/16/14,10/22/14,2/17/16,98,
258,830,830,BXD65b,F,CD,583,Euthanized,2/27/12,7/20/12,10/2/13,144,
259,165,165,BXD60,F,CD,583,Natural,10/11/11,2/13/12,5/16/13,125,
260,342,342,BXD100,F,CD,584,Euthanized,10/24/11,2/10/12,5/30/13,109,
261,1155,1155,D2B6F1,F,CD,585,Natural,3/21/13,8/8/13,10/27/14,140,
262,1768,1331,BXD13,F,CD,587,Natural,7/17/13,11/15/13,2/24/15,121,
263,627,627,BXD74,F,CD,588,Natural,2/22/12,7/20/12,10/2/13,149,
264,2771,2771,BXD214,F,CD,590,Euthanized,1/9/18,3/9/18,8/22/19,59,
265,817,817,BXD63,F,CD,590,Natural,1/30/12,7/20/12,9/11/13,172,
266,1820,1820,DBA/2J,F,CD,590,Natural,7/30/14,10/22/14,3/11/16,84,
267,3050,3050,BXD44,F,CD,591,Natural,11/30/18,3/4/20,7/13/20,460,
268,2904,2904,BXD22,F,CD,592,Natural,8/10/18,11/19/18,3/24/20,101,
269,2165,2165,BXD40,F,CD,593,Natural,1/14/15,3/13/15,8/29/16,58,
270,3060,3060,BXD113,F,CD,593,Natural,1/9/19,3/4/20,8/24/20,420,
271,25,25,BXD73,F,CD,595,Natural,8/27/10,2/13/12,4/13/12,535,
272,3309,3309,BXD73b,F,CD,596,Euthanized,11/26/19,2/10/20,7/14/21,76,
273,1686,1686,BXD79,F,CD,597,Natural,4/30/14,7/25/14,12/18/15,86,
274,3058,3058,BXD199,F,CD,598,Euthanized,12/4/18,3/4/20,7/24/20,456,
275,1875,1875,BXD79,F,CD,598,Natural,7/15/14,10/22/14,3/4/16,99,
276,84,84,BXD29,F,CD,599,Euthanized,4/18/11,2/13/12,12/7/12,301,
277,2767,2767,BXD172,F,CD,600,Euthanized,1/7/18,2/23/18,8/30/19,47,
278,853,853,BXD53,F,CD,600,Natural,1/19/12,7/20/12,9/10/13,183,
279,2131,2131,BXD66,F,CD,600,Natural,9/22/14,2/6/15,5/14/16,137,
280,2356,2356,BXD18,F,CD,600,Natural,6/30/15,11/3/15,2/19/17,126,
281,2562,2562,BXD19,F,CD,600,Natural,1/10/16,2/12/16,9/1/17,33,
282,3075,3075,BXD2,F,CD,601,Euthanized,12/27/18,3/5/20,8/19/20,434,
283,2930,2930,DBA/2J,F,CD,601,Natural,11/28/17,5/13/19,7/22/19,531,
284,2738,2738,BXD199,F,CD,602,Euthanized,12/12/17,2/23/18,8/6/19,73,
285,3164,3164,BXD176,F,CD,603,Euthanized,12/25/18,8/7/20,8/19/20,591,
